label,s_0,i_0,j_0,k_0,s_1,i_1,j_1,k_1,s_2,i_2,j_2,k_2,s_3,i_3,j_3,k_3,s_4,i_4,j_4,k_4,s_5,i_5,j_5,k_5,s_6,i_6,j_6,k_6,s_7,i_7,j_7,k_7,s_8,i_8,j_8,k_8,s_9,i_9,j_9,k_9
0,1.000000,0.000000,0.000000,0.000000,0.999111,-0.000336,-0.001497,0.042128,0.985623,-0.001995,-0.007633,0.168776,0.926387,-0.000869,-0.021814,0.375939,0.769532,0.002361,-0.046164,0.636933,0.465069,0.003669,-0.076558,0.881950,0.004037,0.000820,-0.101561,0.994821,-0.530267,-0.006021,-0.109518,0.840706,-0.933681,-0.018162,-0.083546,0.347749,-0.928258,-0.029912,-0.024004,-0.369954
0,1.000000,0.000000,0.000000,0.000000,0.999216,0.000013,0.001077,0.039565,0.987964,0.000206,0.005809,0.154575,0.940138,-0.000928,0.016453,0.340394,0.815135,-0.006227,0.030465,0.578436,0.567882,-0.014744,0.044949,0.821750,0.172386,-0.021252,0.054586,0.983286,-0.334474,-0.024953,0.054533,0.940495,-0.805975,-0.022827,0.036922,0.590356,-0.998917,-0.016854,-0.002437,-0.043292
0,1.000000,0.000000,0.000000,0.000000,0.999178,0.000230,-0.000274,0.040530,0.987187,0.002295,-0.002516,0.159531,0.935899,0.005104,-0.009025,0.352116,0.801815,0.003772,-0.022625,0.597132,0.537437,-0.005418,-0.048564,0.841887,0.121707,-0.017671,-0.083963,0.988850,-0.397738,-0.017774,-0.115337,0.910047,-0.854947,0.001756,-0.111720,0.506538,-0.983680,0.036375,-0.047869,-0.169588
1,1.000000,0.000000,0.000000,0.000000,0.999177,-0.000962,0.000198,0.040557,0.987300,-0.003208,0.001116,0.158831,0.936923,-0.004146,0.002451,0.349501,0.806363,-0.004048,0.004591,0.591390,0.551837,0.000717,0.011285,0.833876,0.154033,0.010229,0.025416,0.987686,-0.341626,0.015477,0.043912,0.938682,-0.798207,0.009423,0.056790,0.599627,-0.998601,-0.005504,0.052102,-0.007145
1,1.000000,0.000000,0.000000,0.000000,0.999155,0.000347,-0.000617,0.041086,0.986752,0.001317,-0.002806,0.162208,0.934672,0.000095,-0.006736,0.355448,0.800987,-0.004766,-0.014464,0.598488,0.542768,-0.010189,-0.024447,0.839465,0.144344,-0.016955,-0.032607,0.988845,-0.348178,-0.024843,-0.031270,0.936577,-0.800170,-0.030120,-0.017470,0.598762,-0.999568,-0.028816,0.005052,-0.002647
1,1.000000,0.000000,0.000000,0.000000,0.999192,-0.000061,0.001082,0.040173,0.987138,0.001026,0.003890,0.159817,0.935551,0.001921,0.009551,0.353056,0.801172,0.003722,0.019437,0.598107,0.537736,0.006330,0.033638,0.842418,0.125855,0.009149,0.045816,0.990948,-0.383382,0.010784,0.046735,0.922344,-0.834551,0.012778,0.027266,0.550107,-0.996474,0.021182,-0.010280,-0.080536
2,1.000000,0.000000,0.000000,0.000000,0.999171,-0.039830,0.008385,0.000227,0.986855,-0.158014,0.033754,0.002974,0.934945,-0.346933,0.073588,0.010054,0.801519,-0.584323,0.124610,0.024609,0.542873,-0.818549,0.181423,0.048494,0.138425,-0.960110,0.230925,0.075504,-0.368013,-0.891154,0.249097,0.091443,-0.828307,-0.517112,0.202705,0.073579,-0.989438,0.128141,0.067158,0.009030
2,1.000000,0.000000,0.000000,0.000000,0.999163,-0.039768,0.009548,-0.000331,0.986816,-0.157171,0.038629,0.000239,0.934219,-0.345571,0.088353,0.003004,0.799856,-0.579938,0.154059,0.012957,0.542561,-0.809783,0.221550,0.028186,0.144581,-0.952046,0.266336,0.042074,-0.349167,-0.899128,0.259465,0.048262,-0.801971,-0.569492,0.175807,0.040171,-0.999664,0.014545,0.017042,0.013049
2,1.000000,0.000000,0.000000,0.000000,0.999177,-0.039534,0.009013,0.000438,0.986694,-0.158405,0.036319,0.004846,0.931894,-0.353300,0.080816,0.014879,0.788314,-0.598951,0.137090,0.032032,0.506970,-0.838174,0.193666,0.054208,0.068452,-0.969160,0.225084,0.073358,-0.465614,-0.858306,0.202057,0.075418,-0.903487,-0.413073,0.107142,0.040039,-0.957249,0.282185,-0.053666,-0.034149
3,1.000000,0.000000,0.000000,0.000000,0.999185,-0.032135,0.011381,0.021598,0.987255,-0.127133,0.045138,0.084418,0.937679,-0.278982,0.097557,0.182782,0.814869,-0.469162,0.160639,0.300116,0.582158,-0.663063,0.222941,0.414411,0.219531,-0.802303,0.261641,0.489551,-0.243741,-0.806697,0.246482,0.478619,-0.705524,-0.600233,0.155784,0.343056,-0.982499,-0.166513,-0.004597,0.083355
3,1.000000,0.000000,0.000000,0.000000,0.999198,-0.032579,0.010644,0.020684,0.987560,-0.127913,0.042741,0.080848,0.937881,-0.279266,0.095740,0.182275,0.809159,-0.467294,0.164651,0.315893,0.558792,-0.650185,0.238333,0.456299,0.166724,-0.760150,0.295351,0.554206,-0.328317,-0.711815,0.302229,0.542389,-0.793021,-0.436243,0.224011,0.361426,-0.997571,0.042935,0.054071,0.009197
3,1.000000,0.000000,0.000000,0.000000,0.999146,-0.033480,0.010957,0.021592,0.986657,-0.133411,0.043813,0.082396,0.934415,-0.292924,0.095825,0.178553,0.799492,-0.497481,0.160356,0.295993,0.532224,-0.707404,0.222948,0.408180,0.108567,-0.838489,0.258856,0.467057,-0.416964,-0.776559,0.229986,0.412557,-0.870471,-0.432459,0.106955,0.209334,-0.979216,0.152615,-0.084097,-0.103787
